Placa,Apelido,Data,Hora,Velocidade,Alimentação,Ignição,Bloqueio,Motoristas,Endereço,Latitude,Longitude
SIP7F42,,07/12/2023,00:05:36,0,"12,71",Não,Não,,"Rua Deputado Antônio Baby, 47, Batel, Curitiba, Paraná, Brasil","-25,44515","-49,293415"
SIP7F42,,07/12/2023,00:35:41,0,"12,71",Não,Não,,"Rua Deputado Antônio Baby, 47, Batel, Curitiba, Paraná, Brasil","-25,44517","-49,293456"
SIP7F42,,07/12/2023,00:44:39,0,"12,1",Sim,Não,,"Rua Deputado Antônio Baby, 47, Batel, Curitiba, Paraná, Brasil","-25,44517","-49,293456"
SIP7F42,,07/12/2023,00:44:53,7,"13,74",Sim,Não,,"Rua Deputado Antônio Baby, 47, Batel, Curitiba, Paraná, Brasil","-25,44517","-49,293401"
SIP7F42,,07/12/2023,00:44:54,10,"13,77",Sim,Não,,"Rua Deputado Antônio Baby, 47, Batel, Curitiba, Paraná, Brasil","-25,445187","-49,293394"
SIP7F42,,07/12/2023,00:44:55,14,"13,77",Sim,Não,,"Rua Deputado Antônio Baby, 54, Batel, Curitiba, Paraná, Brasil","-25,445227","-49,293352"
SIP7F42,,07/12/2023,00:46:38,40,"13,68",Sim,Não,,"Rua Cândido Xavier, 245, Água Verde, Curitiba, Paraná, Brasil","-25,448464","-49,29233"
SIP7F42,,07/12/2023,00:46:47,17,"13,62",Sim,Não,,"Rua Cândido Xavier, 331, Água Verde, Curitiba, Paraná, Brasil","-25,448997","-49,2922"
SIP7F42,,07/12/2023,00:46:52,27,"13,68",Sim,Não,,"Avenida Silva Jardim, 3321, Água Verde, Curitiba, Paraná, Brasil","-25,448991","-49,291863"
SIP7F42,,07/12/2023,00:47:12,16,"12,34",Sim,Não,,"Rua Castro Alves, 562, Água Verde, Curitiba, Paraná, Brasil","-25,44888","-49,291448"
SIP7F42,,07/12/2023,00:47:18,23,"12,43",Sim,Não,,"Rua Castro Alves, 477, Água Verde, Curitiba, Paraná, Brasil","-25,449153","-49,291305"
SIP7F42,,07/12/2023,00:49:18,39,"13,56",Sim,Não,,"Rua Guararapes, 1391, Vila Izabel, Curitiba, Paraná, Brasil","-25,45801","-49,290337"
SIP7F42,,07/12/2023,00:50:28,42,"13,56",Sim,Não,,"Rua Guararapes, 2214, Portão, Curitiba, Paraná, Brasil","-25,465113","-49,292182"
SIP7F42,,07/12/2023,00:51:08,5,"13,5",Sim,Não,,"Rua Francisco Frischmann, 1570, Portão, Curitiba, Paraná, Brasil","-25,46806","-49,295482"
SIP7F42,,07/12/2023,00:53:07,53,"13,56",Sim,Não,,"Rua Doutor João Tobias Pinto Rebelo, 3971, Portão, Curitiba, Paraná, Brasil","-25,479835","-49,295653"
SIP7F42,,07/12/2023,00:55:07,41,"13,59",Sim,Não,,"Rua Antônio Gasparin, 5464, Novo Mundo, Curitiba, Paraná, Brasil","-25,49324","-49,295449"
SIP7F42,,07/12/2023,00:57:07,57,"13,59",Sim,Não,,"Rua Capitão Argemiro Monteiro Wanderley, 242, Capão Raso, Curitiba, Paraná, Brasil","-25,510253","-49,297296"
SIP7F42,,07/12/2023,00:57:38,19,"13,22",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1455, Capão Raso, Curitiba, Paraná, Brasil","-25,512068","-49,297253"
SIP7F42,,07/12/2023,00:57:39,18,"13,19",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1455, Capão Raso, Curitiba, Paraná, Brasil","-25,512107","-49,297224"
SIP7F42,,07/12/2023,00:57:58,0,"12,31",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1443, Capão Raso, Curitiba, Paraná, Brasil","-25,512186","-49,297121"
SIP7F42,,07/12/2023,00:59:38,0,"13,65",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1443, Capão Raso, Curitiba, Paraná, Brasil","-25,512192","-49,297063"
SIP7F42,,07/12/2023,01:01:38,0,"13,62",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1443, Capão Raso, Curitiba, Paraná, Brasil","-25,512144","-49,297134"
SIP7F42,,07/12/2023,01:02:19,0,"13,74",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1443, Capão Raso, Curitiba, Paraná, Brasil","-25,512166","-49,297118"
SIP7F42,,07/12/2023,01:02:26,18,"13,62",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1441, Capão Raso, Curitiba, Paraná, Brasil","-25,512328","-49,297166"
SIP7F42,,07/12/2023,01:02:35,19,"13,71",Sim,Não,,"Rua Marechal Octávio Saldanha Mazza, 1427, Capão Raso, Curitiba, Paraná, Brasil","-25,512604","-49,29728"
SIP7F42,,07/12/2023,01:04:00,28,"13,68",Sim,Não,,"Rua Orestes Códega, 279, Pinheirinho, Curitiba, Paraná, Brasil","-25,52364","-49,297127"
SIP7F42,,07/12/2023,01:04:06,36,"13,65",Sim,Não,,"Pinheirinho, Curitiba, Paraná, Brasil","-25,523886","-49,296649"
SIP7F42,,07/12/2023,01:04:12,27,"13,71",Sim,Não,,"Pinheirinho, Curitiba, Paraná, Brasil","-25,524153","-49,296462"
SIP7F42,,07/12/2023,01:06:12,80,"13,71",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,542405","-49,304439"
SIP7F42,,07/12/2023,01:06:22,73,"13,68",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,543138","-49,306582"
SIP7F42,,07/12/2023,01:06:37,79,"13,71",Sim,Não,,"Avenida Juscelino Kubitschek de Oliveira, Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,542248","-49,309201"
SIP7F42,,07/12/2023,01:06:59,62,"13,68",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,538771","-49,312303"
SIP7F42,,07/12/2023,01:07:04,46,"13,68",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,538115","-49,312047"
SIP7F42,,07/12/2023,01:07:10,54,"13,71",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,538076","-49,311267"
SIP7F42,,07/12/2023,01:07:16,68,"13,71",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,538877","-49,310854"
SIP7F42,,07/12/2023,01:07:16,68,"13,71",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,53892","-49,310851"
SIP7F42,,07/12/2023,01:07:26,92,"13,71",Sim,Não,,"Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,540748","-49,311471"
SIP7F42,,07/12/2023,01:08:03,126,"13,71",Sim,Não,,"BR-476, Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,547414","-49,320605"
SIP7F42,,07/12/2023,01:08:20,130,"13,71",Sim,Não,,"BR-476, Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,549456","-49,325777"
SIP7F42,,07/12/2023,01:08:42,120,"13,65",Sim,Não,,"BR-476, Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,552433","-49,333664"
SIP7F42,,07/12/2023,01:08:49,64,"13,71",Sim,Não,,"BR-476, Cidade Industrial de Curitiba, Curitiba, Paraná, Brasil","-25,55302","-49,335219"
SIP7F42,,07/12/2023,01:10:03,85,"13,71",Sim,Não,,"Rodovia do Xisto, Chapada, Araucária, Paraná, Brasil","-25,55751","-49,351683"
SIP7F42,,07/12/2023,01:11:00,131,"13,71",Sim,Não,,"Rodovia do Xisto, Chapada, Araucária, Paraná, Brasil","-25,558974","-49,369433"
SIP7F42,,07/12/2023,01:11:36,120,"13,65",Sim,Não,,"Chapada, Araucária, Paraná, 83707-000, Brasil","-25,566243","-49,380422"
SIP7F42,,07/12/2023,01:11:45,76,"13,68",Sim,Não,,"Rodovia do Xisto, Chapada, Araucária, Paraná, Brasil","-25,56785","-49,382398"
SIP7F42,,07/12/2023,01:11:52,33,"13,62",Sim,Não,,"Rodovia BR-476, Chapada, Araucária, Paraná, Brasil","-25,568362","-49,383078"
