Placa,Apelido,Data,Hora,Velocidade,Alimentação,Ignição,Bloqueio,Motoristas,Endereço,Latitude,Longitude
RNM1A20,,27/06/2023,00:27:18,0,"12,8",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,90072","-50,261401"
RNM1A20,,27/06/2023,00:57:22,0,"12,8",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900765","-50,261405"
RNM1A20,,27/06/2023,01:27:25,0,"12,8",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900719","-50,261387"
RNM1A20,,27/06/2023,01:57:29,0,"12,8",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900783","-50,261344"
RNM1A20,,27/06/2023,02:27:33,0,"12,77",Não,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900758","-50,261433"
RNM1A20,,27/06/2023,02:57:36,0,"12,77",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900768","-50,26137"
RNM1A20,,27/06/2023,03:27:40,0,"12,77",Não,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900715","-50,26143"
RNM1A20,,27/06/2023,03:57:44,0,"12,77",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,90072","-50,26137"
RNM1A20,,27/06/2023,04:27:48,0,"12,77",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900676","-50,261352"
RNM1A20,,27/06/2023,04:57:52,0,"12,77",Não,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,90072","-50,261424"
RNM1A20,,27/06/2023,05:27:55,0,"12,77",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900763","-50,261387"
RNM1A20,,27/06/2023,05:57:59,0,"12,77",Não,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900769","-50,261434"
RNM1A20,,27/06/2023,06:28:03,0,"12,77",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900761","-50,261415"
RNM1A20,,27/06/2023,06:58:07,0,"12,77",Não,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900756","-50,261423"
RNM1A20,,27/06/2023,07:28:11,0,"12,77",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900715","-50,261355"
RNM1A20,,27/06/2023,07:58:15,0,"12,77",Não,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900715","-50,261431"
RNM1A20,,27/06/2023,08:28:19,0,"12,77",Não,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900771","-50,261441"
RNM1A20,,27/06/2023,08:58:23,0,"12,77",Não,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900727","-50,261359"
RNM1A20,,27/06/2023,09:07:27,0,"14,32",Sim,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900727","-50,261359"
RNM1A20,,27/06/2023,09:07:53,0,"14,41",Sim,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900638","-50,261233"
RNM1A20,,27/06/2023,09:07:55,8,"14,35",Sim,Não,,"Rua Major João Marques, 2045, Albatroz, Osório, Rio Grande do Sul, Brasil","-29,900617","-50,261246"
RNM1A20,,27/06/2023,09:08:04,10,"14,35",Sim,Não,,"Rua General Osório, 892, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900421","-50,261401"
RNM1A20,,27/06/2023,09:08:09,12,"14,44",Sim,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900505","-50,261533"
RNM1A20,,27/06/2023,09:08:20,9,"14,35",Sim,Não,,"Rua General Osório, 969, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900838","-50,261936"
RNM1A20,,27/06/2023,09:08:26,21,"14,35",Sim,Não,,"Rua General Osório, 925, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900796","-50,26176"
RNM1A20,,27/06/2023,09:08:50,17,"14,29",Sim,Não,,"Rua General Osório, 821, Sulbrasileiro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,899929","-50,260538"
RNM1A20,,27/06/2023,09:08:56,36,"14,38",Sim,Não,,"Rua Deputado Fernando Ferrari, 200, Albatroz, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,900249","-50,260306"
RNM1A20,,27/06/2023,09:09:12,0,"14,35",Sim,Não,,"Rua Deputado Fernando Ferrari, 345, Albatroz, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,90146","-50,259581"
RNM1A20,,27/06/2023,09:09:52,13,"14,38",Sim,Não,,"Rua Deputado Fernando Ferrari, 294, Albatroz, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,902296","-50,259042"
RNM1A20,,27/06/2023,09:09:58,21,"14,44",Sim,Não,,"Rua Deputado Fernando Ferrari, 294, Albatroz, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,902372","-50,259271"
RNM1A20,,27/06/2023,09:10:08,16,"14,41",Sim,Não,,"Rua Major João Marques, Albatroz, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,902428","-50,25991"
RNM1A20,,27/06/2023,09:12:07,9,"14,29",Sim,Não,,"Rua Major João Marques, 1136, Sulbrasileiro, Osório, Rio Grande do Sul, Brasil","-29,894339","-50,265766"
RNM1A20,,27/06/2023,09:13:46,15,"14,29",Sim,Não,,"Rua Major João Marques, 540, Centro, Osório, Rio Grande do Sul, Brasil","-29,889775","-50,269128"
RNM1A20,,27/06/2023,09:13:51,28,"14,32",Sim,Não,,"Avenida Getúlio Vargas, 1010, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,889907","-50,269422"
RNM1A20,,27/06/2023,09:14:40,13,"14,32",Sim,Não,,"Rua Sete de Setembro, 556, Centro, Osório, Rio Grande do Sul, Brasil","-29,891071","-50,271831"
RNM1A20,,27/06/2023,09:14:45,28,"14,29",Sim,Não,,"Rua Sete de Setembro, 483, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,890839","-50,27201"
RNM1A20,,27/06/2023,09:16:21,11,"14,29",Sim,Não,,"Rua Marechal Floriano Peixoto, 1256, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,889839","-50,27271"
RNM1A20,,27/06/2023,09:16:27,16,"14,32",Sim,Não,,"Rua Marechal Floriano Peixoto, 1310, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,889965","-50,272945"
RNM1A20,,27/06/2023,09:17:04,7,"14,32",Sim,Não,,"Rua Bento Gonçalves, 9, Centro, Osório, Rio Grande do Sul, Brasil","-29,890531","-50,273705"
RNM1A20,,27/06/2023,09:17:10,14,"14,32",Sim,Não,,"Rua Marechal Floriano Peixoto, 1380, Centro, Osório, Rio Grande do Sul, Brasil","-29,89057","-50,273551"
RNM1A20,,27/06/2023,09:17:13,16,"14,32",Sim,Não,,"Rua Bento Gonçalves, 1367, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,890507","-50,273433"
RNM1A20,,27/06/2023,09:17:33,9,"14,32",Sim,Não,,"Rua Sete de Setembro, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,890047","-50,272622"
RNM1A20,,27/06/2023,09:17:41,4,"14,32",Sim,Não,,"Rua Sete de Setembro, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,890166","-50,272482"
RNM1A20,,27/06/2023,09:19:40,0,"12,8",Sim,Não,,"Rua Bento Gonçalves, 1300, Centro, Osório, Rio Grande do Sul, Brasil","-29,890284","-50,272522"
RNM1A20,,27/06/2023,09:21:40,0,"12,65",Sim,Não,,"Rua Bento Gonçalves, 1300, Centro, Osório, Rio Grande do Sul, Brasil","-29,890204","-50,272476"
RNM1A20,,27/06/2023,09:22:41,0,"12,59",Sim,Não,,"Rua Bento Gonçalves, 1300, Centro, Osório, Rio Grande do Sul, Brasil","-29,890224","-50,272514"
RNM1A20,,27/06/2023,09:23:40,0,"12,52",Sim,Não,,"Rua Bento Gonçalves, 1300, Centro, Osório, Rio Grande do Sul, Brasil","-29,890249","-50,272542"
RNM1A20,,27/06/2023,09:24:52,6,"14,32",Sim,Não,,"Rua Bento Gonçalves, 1300, Centro, Osório, Rio Grande do Sul, Brasil","-29,890246","-50,272483"
RNM1A20,,27/06/2023,09:25:40,0,"14,32",Sim,Não,,"Avenida Getúlio Vargas, 1291, Centro, Osório, Rio Grande do Sul, Brasil","-29,891292","-50,271755"
RNM1A20,,27/06/2023,09:26:41,0,"13,31",Não,Não,,"Avenida Getúlio Vargas, 1291, Centro, Osório, Rio Grande do Sul, Brasil","-29,891286","-50,27173"
RNM1A20,,27/06/2023,09:26:41,0,"13,31",Não,Não,,"Avenida Getúlio Vargas, 1291, Centro, Osório, Rio Grande do Sul, Brasil","-29,891286","-50,27173"
RNM1A20,,27/06/2023,09:27:22,0,"12,34",Sim,Não,,"Avenida Getúlio Vargas, 1291, Centro, Osório, Rio Grande do Sul, Brasil","-29,891279","-50,271728"
RNM1A20,,27/06/2023,09:27:25,6,"14,29",Sim,Não,,"Rua Sete de Setembro, 558, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,8913","-50,271706"
RNM1A20,,27/06/2023,09:27:41,14,"14,2",Sim,Não,,"Rua Sete de Setembro, 612, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,891959","-50,27127"
RNM1A20,,27/06/2023,09:27:47,28,"14,26",Sim,Não,,"Rua Firmiano Osório, 1482, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,89217","-50,271578"
RNM1A20,,27/06/2023,09:28:00,10,"14,29",Sim,Não,,"Rua Quinze de Novembro, 554, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,892624","-50,272528"
RNM1A20,,27/06/2023,09:28:06,23,"14,29",Sim,Não,,"Rua Quinze de Novembro, 527, Centro, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,892406","-50,272689"
RNM1A20,,27/06/2023,09:28:57,9,"14,29",Sim,Não,,"Avenida Getúlio Vargas, 1400, Centro, Osório, Rio Grande do Sul, Brasil","-29,891796","-50,273067"
RNM1A20,,27/06/2023,09:29:03,20,"14,29",Sim,Não,,"Avenida Getúlio Vargas, 1453, Centro, Osório, Rio Grande do Sul, Brasil","-29,891934","-50,273333"
RNM1A20,,27/06/2023,09:31:03,15,"14,07",Sim,Não,,"Avenida Getúlio Vargas, Parque Real, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,896561","-50,279545"
RNM1A20,,27/06/2023,09:31:09,21,"14,26",Sim,Não,,"Estrada Tramandaí-Osório, Parque do Sol, Osório, Rio Grande do Sul, Brasil","-29,89676","-50,279705"
RNM1A20,,27/06/2023,09:31:15,42,"14,26",Sim,Não,,"Estrada Tramandaí-Osório, 590, Parque do Sol, Osório, Rio Grande do Sul, Brasil","-29,897112","-50,279322"
RNM1A20,,27/06/2023,09:33:15,88,"14,29",Sim,Não,,"Estrada Tramandaí-Osório, Osório, Rio Grande do Sul, Brasil","-29,918177","-50,268042"
RNM1A20,,27/06/2023,09:35:15,79,"14,29",Sim,Não,,"Estrada Tramandaí-Osório, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,93862","-50,252621"
RNM1A20,,27/06/2023,09:35:53,75,"14,29",Sim,Não,,"Estrada Tramandaí-Osório, Osório, Rio Grande do Sul, Brasil","-29,944173","-50,24716"
RNM1A20,,27/06/2023,09:36:34,85,"14,26",Sim,Não,,"Estrada Tramandaí-Osório, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,950727","-50,24084"
RNM1A20,,27/06/2023,09:37:15,88,"14,29",Sim,Não,,"Estrada Tramandaí-Osório, Osório, Rio Grande do Sul, 95520-000, Brasil","-29,957494","-50,234192"
RNM1A20,,27/06/2023,09:37:49,89,"14,29",Sim,Não,,"Estrada Tramandaí-Osório, Osório, Rio Grande do Sul, Brasil","-29,963452","-50,230034"
RNM1A20,,27/06/2023,09:38:56,88,"14,29",Sim,Não,,"Estrada Tramandaí-Osório, Tramandaí, Rio Grande do Sul, Brasil","-29,976216","-50,222224"
